dataset,custom_rbf_kernel_SVM,brownian_bridge_SVM,dtw_full_kNN,linear_kernel_SVM,psd_wasserstein_SVM,wasserstein-DTD_SVM,wasserstein_SVM,wasserstein_kNN,krein_wasserstein_SVM,sinkhorn_SVM,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE,MLP_deep,FCN,ResNet,dataset_type,KEMD,ts_length,train_size,train_size_log,ts_length_log
Meat,0.916666667,0.933333333,0.933333333,0.65,0.933333333,0.933333333,0.933333333,0.9,0.933333333,,0.933333333,0.866666667,0.966666667,0.966666667,0.916666667,0.933333333,0.966666667,1,0.933333333,0.933333333,0.933333333,0.666666667,0.666666667,0.933333333,0.533333333,0.933333333,0.933333333,0.666666667,0.933333333,0.933333333,0.933333333,0.9,0.85,0.733333333,0.833333,0.733333333,0.9,0.9,0.933333333,0.933333333,0.883333333,0.85,0.866666667,0.933333333,0.933333333,0.916666667,0.933333333,0.897,0.853,0.968,Spectro,0.916666667,448,60,1.77815125,2.651278014
HandOutlines,0.856,,0.798,0.642,,,0.887,0.8,0.887,,0.810810811,0.881081081,0.891891892,0.867567568,0.845945946,0.905405405,0.910810811,0.883783784,0.862162162,0.881081081,0.878378378,0.737837838,0.810810811,0.883783784,0.848648649,0.875675676,0.87027027,0.840540541,0.87027027,0.867567568,0.864864865,0.916216216,0.932432432,0.481081081,0.810811,0.902702703,0.908108108,0.902702703,0.918918919,0.854054054,0.881081081,0.686486486,0.745945946,0.889189189,0.862162162,0.918918919,0.932432432,0.918,0.806,0.911,Image,0.821,2709,370,2.568201724,3.432809005
Symbols,0.811055276,0.808040201,0.949748744,0.699497487,0.970854271,0.945728643,0.970854271,0.952763819,0.970854271,,0.79798995,0.627135678,0.870351759,0.894472362,0.895477387,0.901507538,0.792964824,0.75678392,0.899497487,0.949748744,0.937688442,0.970854271,0.968844221,0.920603015,0.954773869,0.948743719,0.959798995,0.973869347,0.949748744,0.952763819,0.96281407,0.948743719,0.88241206,0.931658291,0.933668,0.950753769,0.622110553,0.966834171,0.914572864,0.945728643,0.96281407,0.897487437,0.798994975,0.959798995,0.940703518,0.963819095,0.973869347,0.832,0.955,0.906,Image,0.645226131,398,25,1.397940009,2.599883072
Worms,0.486187845,0.447513812,0.425414365,0.419889503,0.519337017,0.563535912,0.519337017,0.491712707,0.519337017,,0.38961039,0.402597403,0.38961039,0.428571429,0.441558442,0.545454545,0.61038961,0.415584416,0.454545455,0.584415584,0.532467532,0.584415584,0.649350649,0.558441558,0.597402597,0.571428571,0.571428571,0.584415584,0.532467532,0.584415584,0.649350649,0.532467532,0.74025974,0.61038961,0.649351,0.532467532,0.558441558,0.558441558,0.61038961,0.688311688,0.701298701,0.753246753,0.688311688,0.662337662,0.61038961,0.623376623,0.558441558,0.457,0.765,0.791,Motion,0.464088398,900,77,1.886490725,2.954242509
FaceAll,0.746153846,0.737278107,0.807692308,0.617159763,0.781065089,0.771005917,0.781065089,0.763313609,0.781065089,,0.692899408,0.549112426,0.720118343,0.733136095,0.673372781,0.732544379,0.911242604,0.862721893,0.713609467,0.807692308,0.807692308,0.872781065,0.881656805,0.792899408,0.800591716,0.809467456,0.786390533,0.89704142,0.79408284,0.901775148,0.898816568,0.75739645,0.778698225,0.74852071,0.626036,0.755621302,0.968047337,0.781656805,0.75147929,0.744378698,0.767455621,0.70887574,0.820118343,0.84852071,0.863905325,0.917751479,0.80295858,0.793,0.945,0.839,Image,0.530177515,131,560,2.748188027,2.117271296
Wine,0.611111111,0.5,0.574074074,0.5,0.833333333,0.888888889,0.833333333,0.648148148,0.833333333,,0.574074074,0.685185185,0.833333333,0.759259259,0.611111111,0.740740741,0.944444444,0.944444444,0.611111111,0.574074074,0.611111111,0.518518519,0.537037037,0.611111111,0.481481481,0.592592593,0.574074074,0.518518519,0.574074074,0.574074074,0.611111111,0.703703704,0.796296296,0.5,0.759259,0.759259259,0.962962963,0.740740741,0.62962963,0.611111111,0.62962963,0.703703704,0.481481481,0.574074074,0.611111111,0.648148148,0.777777778,0.565,0.587,0.744,Spectro,0.537037037,234,57,1.755874856,2.369215857
SwedishLeaf,0.8688,0.8624,0.7936,0.568,0.928,0.9136,0.928,0.8592,0.928,,0.8576,0.6576,0.8416,0.864,0.8336,0.8704,0.8816,0.8288,0.7888,0.792,0.8464,0.8848,0.904,0.8624,0.888,0.896,0.8912,0.8928,0.8736,0.9008,0.896,0.9008,0.928,0.9072,0.768,0.7344,0.6688,0.9216,0.9136,0.9152,0.92,0.8816,0.9024,0.9152,0.8816,0.9552,0.9536,0.851,0.969,0.956,Image,0.7824,128,500,2.698970004,2.10720997
OSULeaf,0.772727273,0.433884298,0.590909091,0.260330579,0.888429752,0.842975207,0.888429752,0.776859504,0.888429752,,0.380165289,0.342975207,0.44214876,0.566115702,0.309917355,0.512396694,0.570247934,0.458677686,0.520661157,0.590909091,0.599173554,0.880165289,0.871900826,0.603305785,0.789256198,0.772727273,0.776859504,0.884297521,0.623966942,0.880165289,0.884297521,0.809917355,0.966942149,0.776859504,0.677686,0.648760331,0.851239669,0.954545455,0.582644628,0.760330579,0.739669421,0.776859504,0.82231405,0.805785124,0.619834711,0.966942149,0.979338843,0.557,0.977,0.979,Image,0.578512397,427,200,2.301029996,2.630427875
SonyAIBORobotSurfaceII,0.88772298,0.742917104,0.831059811,0.801678909,0.88772298,0.879328437,0.88772298,0.922350472,0.88772298,,0.786988458,0.686253935,0.818467996,0.818467996,0.790136411,0.790136411,0.807974816,0.840503673,0.859391396,0.831059811,0.859391396,0.858342078,0.861490031,0.822665268,0.81112277,0.870933893,0.853095488,0.858342078,0.831059811,0.891920252,0.891920252,0.856243442,0.93389297,0.875131165,0.790136,0.81112277,0.81636936,0.859391396,0.810073452,0.777544596,0.871983211,0.924449108,0.904512067,0.878279119,0.877229801,0.951731375,0.927597062,0.834,0.979,0.978,Sensor,0.737670514,65,27,1.431363764,1.812913357
StarLightCurves,,,0.906629432,0.852719767,,,0.964667314,0.883802817,0.967945605,,0.791403594,0.907236523,0.919499757,0.933948519,0.791403594,0.949854298,0.969281204,0.846406022,0.848834386,0.906629432,0.898251578,0.962238951,0.963695969,0.86243322,0.879431763,0.868139874,0.883195726,0.962238951,0.895216124,0.962238951,0.962238951,0.96163186,0.978508985,0.946576008,0.9178,,0.875303545,0.977780476,0.969402623,0.977051967,0.96296746,0.96430306,0.953739679,0.926056338,0.918103448,0.979601748,0.981544439,0.949,0.961,0.972,Sensor,0.945240408,1024,1000,3,3.010299957
